Work Item Type,Title 1,Title 2,Title 3,Description
Epic,Epic 0 - Company Root & Cascade,,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio) — the program spine</p><p><strong>Planning intent:</strong> Make the **company** a first-class generated entity — as rich as the personas inside it — and the generative root of a top-down cascade (company → departments → people → relationships → scenarios), so The Water Cooler&#x27;s &quot;new game&quot; starts from one seed that produces an entire coherent, distinct organization. This epic is the **spine**; Epics 1–4 are the tiers it cascades into.</p><p><strong>Prototype estimate:</strong> a company model + a small archetype library + a cascade that derives structure (into Epic 2), culture-weights persona generation (over Epic 3), history-seeds the relationship graph (over Epic 3), and exports a <code>company.json</code> root.</p><p><strong>MVP estimate:</strong> full-richness company (culture, economic state, mission, history, narrative/open-secrets, social climate), history-seeded scenario eligibility, a Company authoring/preview tab, and seed coverage/drama validation.</p><p><strong>Goal:</strong> Terrarium generates an entire coherent, distinct company from one seed — culture, economy,
history, structure, people, relationships, and eligible scenarios — as the new-game seed the
sim loads, with company character cascading all the way down into the Epic 1–4 tiers.</p><p><strong>Exit question:</strong> Can the studio pick a company archetype + seed and get a playable, drama-rich org whose culture,
economy, and history visibly shaped its departments, its people, their relationships, and its
scenarios — emitted as one company package, over a single department/org model?</p><p>Today generation is bottom-up: generate people, tag them with a department. Two companies can only differ by roster. The office-scale direction needs the opposite — a long playthrough that opens on a believable, *distinct* organization whose character reaches all the way down. This epic is the **root** that flips generation top-down: a company is sampled from an archetype + seed, its structure is derived, and its culture/economy/history cascade into the departments, people, relationships, and scenarios below it. It is the **new-game seed**.</p>"
Feature,,F0.1 - Company Model & Reference Company,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Define the company as a first-class entity with the same richness a persona has — and prove it with one hand-authored reference company, before any generation. Pass 1: this also fixes the cascade seams the tiers build against.</p><p><strong>Prototype estimate:</strong> a serializable <code>Company</code> type (identity, culture axes, economic state, mission-vs-reality, history/formative events, narrative/open-secrets, social-climate aggregates) + derived aggregates + one reference company.</p><p><strong>MVP estimate:</strong> authoring ergonomics and validation for the model; documented free-text vocabularies; the seam fields E2/E3/E4 consume named explicitly.</p><p><strong>Goal:</strong> A rich, serializable company entity that can stand beside a persona.</p><p><strong>Feature scope:</strong></p><ul><li>A <code>Company</code> model covering identity, culture axes, economic state, mission-vs-reality, company history (formative events), company narrative/open-secrets, and social-climate aggregates.</li><li>Derived company aggregates (factionalism / fear / volatility climate) computed from culture + state + history — the company analog of persona <code>applyDerived</code>; authored overrides win.</li><li>One hand-authored reference company exercising every field.</li><li>Name the cascade seam fields the tiers consume (department subculture inputs, persona culture-weighting inputs, history → edge/scenario inputs).</li></ul><p><strong>Done when:</strong></p><ul><li>The <code>Company</code> model serializes/deserializes round-trip and a reference company exercises every field.</li><li>Derived aggregates compute deterministically and are overridable.</li><li>The cascade seams the tiers must expose are documented.</li></ul><p><strong>Exit question:</strong></p><pre>Is the company a serializable, override-friendly entity as rich as a persona, with the cascade seams named, proven by a reference company?</pre>"
User Story,,,S0.1.1 - Define The Company Model Types,"<p><strong>User story:</strong></p><ul><li>As an author, I need a serializable <code>Company</code> type covering identity, culture axes, economic state, mission-vs-reality, history (formative events), narrative/open-secrets, and social-climate aggregates, so the company is a first-class entity as rich as a persona.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A <code>Company</code> type exists with all the listed sections; it serializes/deserializes round-trip with no loss.</li><li>Field shapes reuse existing conventions where they apply (0–100 axes like persona spine; free-text-with-fallback vocabularies for industry/ownership/history-event kind).</li><li>Unit coverage proves round-trip stability.</li></ul><p><strong>Dependencies:</strong></p><ul><li>none.</li></ul>"
User Story,,,S0.1.2 - Derive Company Climate Aggregates,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need derived company aggregates (factionalism / fear / volatility) computed from culture + state + history, so downstream weighting has a single climate read.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A company <code>applyDerived</code> analog computes the aggregates deterministically from the model.</li><li>Authored overrides win over derived values (same discipline as persona <code>applyDerived</code>).</li><li>Recomputation is idempotent and unit-tested.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.1.1.</li></ul>"
User Story,,,S0.1.3 - Author One Reference Company,"<p><strong>User story:</strong></p><ul><li>As a designer, I need one hand-authored reference company exercising every field, so the model has a golden example and the tests have a fixture.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A reference company populates every section of the model with coherent values.</li><li>It is used as a fixture by the model&#x27;s round-trip and derived-aggregate tests.</li><li>It renders/serializes without warnings.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.1.1, S0.1.2.</li></ul>"
User Story,,,S0.1.4 - Document The Cascade Seam Fields,"<p><strong>User story:</strong></p><ul><li>As a tier author (E1–E4), I need the company fields each tier consumes named explicitly, so I build the tier with the right seam rather than retrofitting it.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>The model documents the seam fields: department-subculture inputs (E2), persona culture-weighting inputs (E3), history→edge inputs (E3), history→scenario inputs (E4), wing-grouping ids (E1).</li><li>The doc cross-references <code>00-company-root-and-cascade.md</code> and the tier feature breakdowns.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.1.1.</li></ul>"
Feature,,F0.2 - Company Archetype Library,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> The new-game presets — seeded generators that sample a coherent company from ranges, the company-scale analog of the persona archetypes.</p><p><strong>Prototype estimate:</strong> a <code>CompanyArchetype</code> (ranges over culture axes / economic state / likely history) + <code>generateCompany(seed, archetype)</code> sampling one; 2–3 reference archetypes (e.g. Declining Incumbent, Hypergrowth Startup).</p><p><strong>MVP estimate:</strong> a fuller library (Family Business, PE Rollup, Nonprofit, Post-Merger, Bureaucracy) + blend/dials.</p><p><strong>Goal:</strong> Pick an archetype + seed → a coherent, distinct company.</p><p><strong>Feature scope:</strong></p><ul><li>A <code>CompanyArchetype</code> of ranges + likely-history weights, sampled per seed (same <code>mulberry32</code> / &quot;bias not lock&quot; pattern as persona templates).</li><li><code>generateCompany(seed, archetype, dials)</code> producing an F0.1 <code>Company</code> (no cascade yet — just the company entity).</li><li>A starter set of archetypes; each a recognizable, coherent bundle.</li><li>Determinism: <code>(seed, archetype, dials)</code> reproduces the same company.</li></ul><p><strong>Done when:</strong></p><ul><li>Generating from two archetypes yields visibly distinct, coherent companies; the same inputs reproduce byte-identical output.</li></ul><p><strong>Exit question:</strong></p><pre>Do distinct archetypes + a seed produce coherent, reproducible companies?</pre>"
User Story,,,S0.2.1 - CompanyArchetype Type And Sampler,"<p><strong>User story:</strong></p><ul><li>As an author, I need a <code>CompanyArchetype</code> of ranges (over culture axes, economic state, likely-history weights) and <code>generateCompany(seed, archetype)</code> that samples one, so a company can be generated like a persona template.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>CompanyArchetype</code> expresses ranges + likely-history weights; <code>generateCompany(seed, archetype)</code> returns an F0.1 <code>Company</code> (entity only, no cascade yet).</li><li>Sampling uses the existing <code>mulberry32</code> / &quot;bias not lock&quot; pattern; <code>(seed, archetype)</code> reproduces byte-identical output.</li><li>Unit coverage proves determinism.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.1.</li></ul>"
User Story,,,S0.2.2 - Two Reference Archetypes,"<p><strong>User story:</strong></p><ul><li>As a designer, I need two recognizable reference archetypes (e.g. Declining Incumbent, Hypergrowth Startup), so the library proves company character actually diverges.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Two archetypes are authored; generating from each yields visibly distinct, coherent companies.</li><li>A test asserts the two differ on the load-bearing culture axes and economic state.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.2.1.</li></ul>"
User Story,,,S0.2.3 - Dials And Blend,"<p><strong>User story:</strong></p><ul><li>As an author, I need optional dials (e.g. size, industry) and archetype blending, so I can steer generation without authoring a new archetype each time.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li><code>generateCompany(seed, archetype, dials)</code> honors dials; blending two archetypes produces a coherent intermediate.</li><li>Dials/blend are deterministic and documented.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.2.1.</li></ul>"
Feature,,F0.3 - Structure Derivation,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Turn company character into structure — derive the department set and org-chart shape from size/age/hierarchy, emitted into Epic 2&#x27;s artifacts (not a second model).</p><p><strong>Prototype estimate:</strong> a deriver that picks departments + reporting depth from the company and writes Epic 2&#x27;s department catalog + org-structure artifact.</p><p><strong>MVP estimate:</strong> industry-aware department sets; hierarchy-axis-driven chart depth/span; spare-capacity hooks for the sim&#x27;s transfer tier.</p><p><strong>Goal:</strong> A generated org structure that reflects the company, in Epic 2&#x27;s shapes.</p><p><strong>Feature scope:</strong></p><ul><li>Derive department set (count/kind) from size + industry; org-chart depth/span from the Hierarchy↔Flat axis.</li><li>Emit into **Epic 2&#x27;s** department catalog + org-structure artifact — the one org model.</li><li>Consume Epic 1&#x27;s wing grouping for the physical projection (no layout logic here).</li></ul><p><strong>Done when:</strong></p><ul><li>A generated company yields a valid Epic 2 org-structure artifact (every department resolves, every department has a head, no dangling reports), shaped by the company&#x27;s size/age/hierarchy.</li></ul><p><strong>Exit question:</strong></p><pre>Does company character produce a valid Epic 2 org structure, over the single department model?</pre>"
User Story,,,S0.3.1 - Derive The Department Set,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need to derive the department set (count/kind) from company size + industry, writing into Epic 2&#x27;s department catalog, so structure reflects the company rather than being hand-listed.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>A deriver produces a department set scaled to size and shaped by industry, emitted into Epic 2&#x27;s catalog shape (the single department model).</li><li>Determinism holds for <code>(seed, archetype, dials)</code>.</li><li>Larger/older companies yield more/deeper departments than small/young ones.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.2, Epic 2 (F2.1).</li></ul>"
User Story,,,S0.3.2 - Derive The Org-Chart Shape,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need org-chart depth/span derived from the Hierarchy↔Flat axis, written into Epic 2&#x27;s org-structure artifact, so the chart matches the company&#x27;s character.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Reporting depth/span derive from the Hierarchy↔Flat axis into Epic 2&#x27;s org-structure artifact.</li><li>A flat company yields a shallow/wide chart; a hierarchical one yields a deep/narrow chart.</li><li>Output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.3.1, Epic 2 (F2.2, F2.3).</li></ul>"
User Story,,,S0.3.3 - Validate The Derived Structure,"<p><strong>User story:</strong></p><ul><li>As an author, I need the derived structure validated so a generated company never produces a broken org chart.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Reuses Epic 2&#x27;s validation: every department resolves, every department has a head, no report dangles.</li><li>A deliberately malformed derivation fails the check.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.3.2, Epic 2 (F2.5).</li></ul>"
Feature,,F0.4 - Department Subculture Cascade,,"<p><strong>Project phase:</strong> Office-Scale Authoring (Terrarium studio)</p><p><strong>Planning intent:</strong> Each generated department is a mini-personality — it inherits the company culture but is allowed to deviate, so a toxic team can exist inside a healthy firm.</p><p><strong>Prototype estimate:</strong> per-department subculture = company culture biased + a bounded deviation sampled per seed; expose department-level bias weights.</p><p><strong>MVP estimate:</strong> department-function-aware deviation (Sales vs Engineering tilt) + named inter-department rivalries from company factionalism.</p><p><strong>Goal:</strong> Departments that read as distinct, coherent sub-cultures under one company.</p><p><strong>Feature scope:</strong></p><ul><li>Department subculture derived from company culture + a per-department deviation budget.</li><li>Expose the resolved department bias weights the persona generator (F0.5) consumes (the E2 subculture seam).</li><li>Seed named inter-department rivalries from the company social-climate aggregates.</li></ul><p><strong>Done when:</strong></p><ul><li>Two departments in the same company resolve distinct subcultures within the deviation budget; the weights are consumable downstream.</li></ul><p><strong>Exit question:</strong></p><pre>Do departments inherit-and-deviate into distinct subcultures the persona layer can read?</pre>"
User Story,,,S0.4.1 - Derive Per-Department Subculture,"<p><strong>User story:</strong></p><ul><li>As the cascade, I need each generated department to derive a subculture from company culture plus a bounded deviation, so a toxic team can exist inside a healthy firm.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Department subculture = company culture biased + a per-department deviation sampled within a budget.</li><li>Two departments in the same company resolve distinct subcultures within the deviation budget.</li><li>Output is deterministic for the cascade seed.</li></ul><p><strong>Dependencies:</strong></p><ul><li>F0.3.</li></ul>"
User Story,,,S0.4.2 - Expose Department Bias Weights,"<p><strong>User story:</strong></p><ul><li>As the persona tier (F0.5), I need the resolved per-department bias weights exposed on Epic 2&#x27;s department entity, so I can weight persona generation by department.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Resolved subculture is written to Epic 2&#x27;s department subculture fields (the E2 seam).</li><li>The weights are readable by F0.5 without recomputation.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.4.1, Epic 2 (F2.1 subculture fields).</li></ul>"
User Story,,,S0.4.3 - Seed Inter-Department Rivalries,"<p><strong>User story:</strong></p><ul><li>As a designer, I need named inter-department rivalries seeded from the company social-climate aggregates, so factionalism is concrete before the relationship graph is wired.</li></ul><p><strong>Acceptance criteria:</strong></p><ul><li>Rivalries are seeded from the company&#x27;s factionalism aggregate and attached to the structure.</li><li>Higher factionalism yields more/stronger rivalries; output is deterministic.</li></ul><p><strong>Dependencies:</strong></p><ul><li>S0.4.1.</li></ul>"
